current_training_input_set1,current_training_input_set2,current_training_input_set3
0.442,0.1,0.1
0.672,0.1,0.1
0.209,0.1,0.1
0.23,0.1,0.1
0.659,0.1,0.1
0.72,0.1,0.1
0.11,0.1,0.1
0.233,0.1,0.1
0.745,0.1,0.1
0.684,0.1,0.1
0.13,0.1,0.1
0.137,0.1,0.1
0.659,0.1,0.1
0.41,0.1,0.1
0.179,0.1,0.1
0.659,0.1,0.1
0.41,0.1,0.1
0.137,0.1,0.1
0.179,0.1,0.1
0.233,0.1,0.1
0.684,0.1,0.1
0.13,0.1,0.1
0.745,0.1,0.1
0.718,0.1,0.1
0.7,0.1,0.1
0.108,0.1,0.1
0.285,0.1,0.1
0.208,0.1,0.1
0.575,0.1,0.1
0.645,0.1,0.1
0.128,0.1,0.1
0.575,0.1,0.1
0.645,0.1,0.1
0.208,0.1,0.1
0.128,0.1,0.1
0.285,0.1,0.1
0.108,0.1,0.1
0.718,0.1,0.1
0.7,0.1,0.1
0.653,0.1,0.1
0.754,0.1,0.1
0.145,0.1,0.1
0.214,0.1,0.1
0.164,0.1,0.1
0.201,0.1,0.1
0.549,0.1,0.1
0.654,0.1,0.1
0.201,0.1,0.1
0.654,0.1,0.1
0.164,0.1,0.1
0.549,0.1,0.1
0.653,0.1,0.1
0.145,0.1,0.1
0.214,0.1,0.1
0.754,0.1,0.1
0.23,0.1,0.1
0.659,0.1,0.1
0.11,0.1,0.1
0.72,0.1,0.1
0.134,0.1,0.1
0.442,0.1,0.1
0.209,0.1,0.1
0.672,0.1,0.1
0.134,0.1,0.1
0.442,0.1,0.1
0.672,0.1,0.1
0.209,0.1,0.1
0.11,0.1,0.1
0.23,0.1,0.1
0.659,0.1,0.1
0.72,0.1,0.1
0.718,0.1,0.1
0.285,0.1,0.1
0.7,0.1,0.1
0.108,0.1,0.1
0.575,0.1,0.1
0.208,0.1,0.1
0.128,0.1,0.1
0.645,0.1,0.1
0.575,0.1,0.1
0.645,0.1,0.1
0.208,0.1,0.1
0.128,0.1,0.1
0.7,0.1,0.1
0.108,0.1,0.1
0.285,0.1,0.1
0.718,0.1,0.1
0.7,0.1,0.1
0.285,0.1,0.1
0.108,0.1,0.1
0.718,0.1,0.1
0.208,0.1,0.1
0.645,0.1,0.1
0.575,0.1,0.1
0.128,0.1,0.1
0.645,0.1,0.1
0.208,0.1,0.1
0.575,0.1,0.1
0.128,0.1,0.1
0.285,0.1,0.1
0.718,0.1,0.1
0.108,0.1,0.1
0.7,0.1,0.1
0.745,0.1,0.1
0.233,0.1,0.1
0.13,0.1,0.1
0.684,0.1,0.1
0.137,0.1,0.1
0.659,0.1,0.1
0.41,0.1,0.1
0.179,0.1,0.1
0.659,0.1,0.1
0.41,0.1,0.1
0.137,0.1,0.1
0.179,0.1,0.1
0.13,0.1,0.1
0.233,0.1,0.1
0.745,0.1,0.1
0.684,0.1,0.1
0.653,0.1,0.1
0.214,0.1,0.1
0.145,0.1,0.1
0.754,0.1,0.1
0.549,0.1,0.1
0.164,0.1,0.1
0.654,0.1,0.1
0.201,0.1,0.1
0.654,0.1,0.1
0.201,0.1,0.1
0.549,0.1,0.1
0.164,0.1,0.1
0.754,0.1,0.1
0.145,0.1,0.1
0.214,0.1,0.1
0.653,0.1,0.1
0.653,0.1,0.1
0.214,0.1,0.1
0.754,0.1,0.1
0.145,0.1,0.1
